"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,3,Fusion Parasite,1,Insect/ Effect,0.84
Monster,3,Lyrilusc - Cobalt Sparrow,1,Winged Beast/ Effect,0.14
Monster,2,Lyrilusc - Sapphire Swallow,1,Winged Beast/ Effect,0.10
Monster,1,Lyrilusc - Turquoise Warbler,1,Winged Beast/ Effect,0.10
Spell,1,Lyrilusc - Bird Strike,,,0.18
Extra Deck,1,Lyrilusc - Assembled Nightingale,1,Winged Beast/ Effect/ Xyz,0.35
Extra Deck,1,Lyrilusc - Independent Nightingale,1,Winged Beast/ Effect/ Fusion,0.27
